symbol,name,current_price,market_cap,pe_ratio,pb_ratio,roe,eps,book_value,beta,peg_ratio,roa,debt_to_equity,current_ratio,quick_ratio,revenue_growth,earnings_growth,operating_margin,net_margin,profit_margin,dividend_yield,volume,sector,market_cap_category,last_updated
NSE:MRF-EQ,MRF LTD,153195.0,765975.0,17.26,1.66,13.04,19976.628,92286.14457831325,1.21,2.6472392638036815,5.8475336322869955,1.23,1.5,1.125,8.0,6.8,10.432,7.3024,7.3024,2.84,11930,Others,large_cap,2025-10-04 19:06:26.412833
NSE:PAGEIND-EQ,PAGE INDUSTRIES LTD,42875.0,214375.0,19.89,2.59,14.3,6131.125,16554.054054054053,1.36,2.7818181818181817,7.371134020618557,0.94,2.0,1.5,8.0,6.8,11.440000000000001,8.008000000000001,8.008000000000001,3.33,40218,Others,large_cap,2025-10-04 10:06:06.495313
NSE:BOSCHLTD-EQ,BOSCH LIMITED,38630.0,193150.0,13.09,1.51,14.81,5721.103,25582.781456953642,1.47,1.7677245104659014,8.763313609467456,0.69,2.5,1.875,12.0,10.2,17.772,12.440399999999999,12.440399999999999,3.34,22284,Technology,large_cap,2025-10-04 19:06:25.492860
NSE:HONAUT-EQ,HONEYWELL AUTOMATION IND,35710.0,178550.0,13.18,1.71,14.09,5031.539,20883.040935672514,1.29,1.8708303761533003,9.99290780141844,0.41,2.5,1.875,8.0,6.8,9.863,6.9041,6.9041,2.1,3931,Automobile,large_cap,2025-10-04 19:06:27.584093
NSE:PTCIL-EQ,PTC INDUSTRIES LIMITED,16648.0,166480.0,18.45,1.96,13.98,4654.7807999999995,8493.877551020409,1.23,2.6394849785407724,6.59433962264151,1.12,2.5,1.875,12.0,10.2,16.776,11.7432,11.7432,2.67,135315,Technology,large_cap,2025-10-04 06:58:22.669208
NSE:DIXON-EQ,DIXON TECHNO (INDIA) LTD,16591.0,165910.0,18.82,2.56,13.49,4476.2518,6480.859375,1.21,2.7902149740548556,7.6647727272727275,0.76,2.5,1.875,12.0,10.2,16.188,11.331599999999998,11.331599999999998,2.43,157149,Technology,large_cap,2025-10-04 06:58:22.067059
NSE:MARUTI-EQ,MARUTI SUZUKI INDIA LTD.,15806.0,158060.0,20.55,1.48,19.34,6113.7608,10679.72972972973,1.37,2.125129265770424,9.917948717948718,0.95,2.0,1.5,8.0,6.8,15.472000000000001,10.830400000000001,10.830400000000001,2.89,470216,Others,large_cap,2025-10-04 06:58:19.739457
NSE:TATAINVEST-EQ,TATA INVESTMENT CORP LTD,10002.0,150030.0,10.31,1.25,14.97,4491.8982000000005,8001.6,1.36,1.3774215096860387,8.180327868852459,0.83,2.0,1.5,8.0,6.8,11.976,8.3832,8.3832,2.27,5205998,Others,large_cap,2025-10-04 10:06:02.673362
NSE:ABBOTINDIA-EQ,ABBOTT INDIA LIMITED,29965.0,149825.0,10.14,2.51,17.08,5118.021999999999,11938.247011952193,1.25,1.187353629976581,10.81012658227848,0.58,2.5,1.875,12.0,10.2,20.496,14.347199999999997,14.347199999999997,3.19,11200,Technology,large_cap,2025-10-04 19:06:26.498457
NSE:SHREECEM-EQ,SHREE CEMENT LIMITED,29180.0,145900.0,13.78,1.13,12.76,3723.368,25823.008849557526,1.32,2.1598746081504703,6.285714285714285,1.03,2.5,1.875,12.0,10.2,15.312,10.718399999999999,10.718399999999999,3.36,13811,Technology,large_cap,2025-10-04 19:06:26.203568
NSE:3MINDIA-EQ,3M INDIA LIMITED,29135.0,145675.0,12.64,2.61,14.97,4361.5095,11162.835249042146,1.3,1.6887107548430194,7.197115384615385,1.08,2.5,1.875,12.0,10.2,17.964,12.574799999999998,12.574799999999998,2.77,3059,Technology,large_cap,2025-10-05 08:24:34.523423
NSE:SOLARINDS-EQ,SOLAR INDUSTRIES (I) LTD,13853.0,138530.0,18.31,1.85,15.1,4183.606,7488.108108108107,1.12,2.4251655629139073,9.679487179487179,0.56,2.0,1.5,8.0,6.8,12.08,8.456,8.456,2.96,240741,Others,large_cap,2025-10-04 06:58:20.643753
NSE:POWERINDIA-EQ,HITACHI ENERGY INDIA LTD,18223.0,136672.5,21.31,1.58,16.64,4548.4608,11533.544303797467,1.41,2.5612980769230766,8.077669902912621,1.06,2.5,1.875,12.0,10.2,19.968,13.977599999999999,13.977599999999999,2.3,76312,Technology,large_cap,2025-10-04 10:06:04.135440
NSE:BAJAJ-AUTO-EQ,BAJAJ AUTO LIMITED,8679.5,130192.5,17.6,2.77,16.87,4392.69495,3133.3935018050543,1.25,2.086544161232958,8.97340425531915,0.88,2.5,1.875,12.0,10.2,20.244,14.170799999999998,14.170799999999998,2.54,915075,Technology,large_cap,2025-10-04 05:21:33.267226
